dirname,filename,filename_abb,state_id,state_name,district_id,district_name
~/iec/pc01/district_handbooks/,DH_09_2001_KUS.pdf,KUS,9,uttar pradesh,59,kushinagar
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_KUS_EB.pdf,KUS_EB,9,uttar pradesh,59,kushinagar
~/iec/pc01/district_handbooks/,DH_09_2001_LAL.pdf,LAL,9,uttar pradesh,37,lalitpur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_LAL_EB.pdf,LAL_EB,9,uttar pradesh,37,lalitpur
~/iec/pc01/district_handbooks/,DH_09_2001_LKW.pdf,LKW,9,uttar pradesh,27,lucknow
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_LKW_EB.pdf,LKW_EB,9,uttar pradesh,27,lucknow
~/iec/pc01/district_handbooks/,DH_09_2001_MAH.pdf,MAH,9,uttar pradesh,39,mahoba
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_MAH_EB.pdf,MAH_EB,9,uttar pradesh,39,mahoba
~/iec/pc01/district_handbooks/,DH_09_2001_MAT.pdf,MAT,9,uttar pradesh,14,mathura
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_MAT_EB.pdf,MAT_EB,9,uttar pradesh,14,mathura
~/iec/pc01/district_handbooks/,DH_09_2001_MAU_VOL-01.pdf,MAU_VOL-01,9,uttar pradesh,62,mau
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_MAU_VOL-01_EB.pdf,MAU_VOL-01_EB,9,uttar pradesh,62,mau
~/iec/pc01/district_handbooks/,DH_09_2001_MAU_VOL-02.pdf,MAU_VOL-02,9,uttar pradesh,62,mau
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_MAU_VOL-02_EB.pdf,MAU_VOL-02_EB,9,uttar pradesh,62,mau
~/iec/pc01/district_handbooks/,DH_09_2001_MEE.pdf,MEE,9,uttar pradesh,7,meerut
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_MEE_EB.pdf,MEE_EB,9,uttar pradesh,7,meerut
~/iec/pc01/district_handbooks/,DH_09_2001_MNI.pdf,MNI,9,uttar pradesh,18,mainpuri
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_MNI_EB.pdf,MNI_EB,9,uttar pradesh,18,mainpuri
~/iec/pc01/district_handbooks/,DH_09_2001_MOR_VOL-01.pdf,MOR_VOL-01,9,uttar pradesh,4,moradabad
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_MOR_VOL-01_EB.pdf,MOR_VOL-01_EB,9,uttar pradesh,4,moradabad
~/iec/pc01/district_handbooks/,DH_09_2001_MOR_VOL-02.pdf,MOR_VOL-02,9,uttar pradesh,4,moradabad
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_MOR_VOL-02_EB.pdf,MOR_VOL-02_EB,9,uttar pradesh,4,moradabad
~/iec/pc01/district_handbooks/,DH_09_2001_MRJ.pdf,MRJ,9,uttar pradesh,57,maharajganj
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_MRJ_EB.pdf,MRJ_EB,9,uttar pradesh,57,maharajganj
~/iec/pc01/district_handbooks/,DH_09_2001_MUZ.pdf,MUZ,9,uttar pradesh,2,muzaffarnagar
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_MUZ_EB.pdf,MUZ_EB,9,uttar pradesh,2,muzaffarnagar
~/iec/pc01/district_handbooks/,DH_09_2001_PIL.pdf,PIL,9,uttar pradesh,21,pilibhit
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_PIL_EB.pdf,PIL_EB,9,uttar pradesh,21,pilibhit
~/iec/pc01/district_handbooks/,DH_09_2001_PRA.pdf,PRA,9,uttar pradesh,43,pratapgarh
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_PRA_EB.pdf,PRA_EB,9,uttar pradesh,43,pratapgarh
~/iec/pc01/district_handbooks/,DH_09_2001_RAE.pdf,RAE,9,uttar pradesh,28,rae bareli
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_RAE_EB.pdf,RAE_EB,9,uttar pradesh,28,rae bareli
~/iec/pc01/district_handbooks/,DH_09_2001_RAM.pdf,RAM,9,uttar pradesh,5,rampur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_RAM_EB.pdf,RAM_EB,9,uttar pradesh,5,rampur
~/iec/pc01/district_handbooks/,DH_09_2001_SHA_VOL-01.pdf,SHA_VOL-01,9,uttar pradesh,22,shahjahanpur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_SHA_VOL-01_EB.pdf,SHA_VOL-01_EB,9,uttar pradesh,22,shahjahanpur
~/iec/pc01/district_handbooks/,DH_09_2001_SHA_VOL-02.pdf,SHA_VOL-02,9,uttar pradesh,22,shahjahanpur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_SHA_VOL-02_EB.pdf,SHA_VOL-02_EB,9,uttar pradesh,22,shahjahanpur
~/iec/pc01/district_handbooks/,DH_09_2001_SID.pdf,SID,9,uttar pradesh,54,siddharthnagar
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_SID_EB.pdf,SID_EB,9,uttar pradesh,54,siddharthnagar
~/iec/pc01/district_handbooks/,DH_09_2001_SIT.pdf,SIT,9,uttar pradesh,24,sitapur
